ItemName,Description,Category,Urgency
Diary,golden Diary seen near Classroom area,Stationery,Low
Laptop,red Laptop lost near Library area,Electronics,High
Jacket,white Jacket found near Hostel area,Clothing,Low
Calculator,black Calculator found near Playground area,Stationery,Moderate
Sweater,black Sweater seen near Library area,Clothing,Low
Diary,blue Diary found near Lab area,Stationery,Low
Marker,silver Marker found near Canteen area,Stationery,Low
Bracelet,black Bracelet seen near Auditorium area,Accessories,Low
Smartwatch,red Smartwatch found near Canteen area,Electronics,Low
Charger,red Charger misplaced near Canteen area,Electronics,Moderate
Jacket,red Jacket misplaced near Parking Area area,Clothing,Low
Headphones,black Headphones forgotten near Auditorium area,Electronics,Low
Smartwatch,brown Smartwatch left near Lab area,Electronics,Low
Pen,white Pen seen near Classroom area,Stationery,Low
Lunch Box,silver Lunch Box seen near Canteen area,Miscellaneous,Low
Charger,blue Charger left near Canteen area,Electronics,Moderate
Sweater,black Sweater seen near Auditorium area,Clothing,Low
Wallet,blue Wallet found near Bus Stop area,Accessories,High
Tiffin,brown Tiffin left near Lab area,Miscellaneous,Low
Phone,white Phone left near Lab area,Electronics,High
Laptop,silver Laptop found near Playground area,Electronics,High
Charger,blue Charger seen near Hostel area,Electronics,Moderate
Ring,silver Ring seen near Parking Area area,Accessories,Low
Shoes,silver Shoes left near Bus Stop area,Clothing,Low
Sweater,silver Sweater found near Hostel area,Clothing,Low
Book,blue Book misplaced near Canteen area,Stationery,Moderate
Jacket,red Jacket left near Auditorium area,Clothing,Low
Lunch Box,golden Lunch Box misplaced near Hostel area,Miscellaneous,Low
Shoes,red Shoes forgotten near Canteen area,Clothing,Low
Wallet,red Wallet seen near Auditorium area,Accessories,High
Sweater,silver Sweater left near Auditorium area,Clothing,Low
Keys,silver Keys found near Playground area,Accessories,High
Marker,golden Marker seen near Hostel area,Stationery,Low
Report File,blue Report File misplaced near Parking Area area,Documents,Low
Phone,golden Phone lost near Lab area,Electronics,High
Cap,golden Cap found near Bus Stop area,Clothing,Low
Book,brown Book forgotten near Canteen area,Stationery,Moderate
Lunch Box,silver Lunch Box left near Canteen area,Miscellaneous,Low
Headphones,blue Headphones found near Hostel area,Electronics,Low
Cap,silver Cap lost near Parking Area area,Clothing,Low
Wallet,silver Wallet seen near Library area,Accessories,High
Scarf,black Scarf lost near Canteen area,Clothing,Low
Diary,blue Diary forgotten near Canteen area,Stationery,Low
Bag,silver Bag seen near Parking Area area,Miscellaneous,Moderate
Umbrella,brown Umbrella seen near Auditorium area,Miscellaneous,Low
ID Card,black ID Card forgotten near Classroom area,Documents,High
ID Card,blue ID Card seen near Lab area,Documents,High
Library Card,red Library Card left near Classroom area,Documents,Low
